"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"  1566 Icarus (1949 MA)",1.078,0.8270,22.80,87.95,31.43,0.187,1.97,1.12,16.57,1.0,160.86,2460417.82
"  1620 Geographos (1951 RA)",1.246,0.3356,13.34,337.15,277.01,0.828,1.66,1.39,15.27,2.56,289.36,2460700.14
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.03,0.647,2.29,1.78,16.08,1.5,252.87,2460794.35
"  1981 Midas (1973 EA)",1.776,0.6505,39.82,356.80,267.84,0.621,2.93,2.37,15.28,3.4,258.81,2460843.56
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.43,43.69,0.442,3.31,2.57,18.72,0.6,230.82,2460936.75
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.35,61.52,0.904,1.68,1.47,16.00,1.649,78.27,2460484.14
"  2135 Aristaeus (1977 HA)",1.6,0.5030,23.07,191.11,290.97,0.795,2.40,2.02,18.05,,202.31,2460924.20
"  2201 Oljato (1947 XC)",2.179,0.7107,2.52,74.87,98.37,0.630,3.73,3.22,15.36,1.80,334.42,2460683.95
"  2340 Hathor (1976 UA)",0.8438,0.4500,5.86,211.29,40.10,0.464,1.22,0.775,20.43,0.3,53.40,2460558.50
"  3122 Florence (1981 ET3)",1.769,0.4231,22.14,336.05,27.90,1.021,2.52,2.35,14.10,4.9,0.67,2460598.89
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.31,265.10,322.31,0.140,2.40,1.43,14.40,6.25,248.98,2460762.00
"  3361 Orpheus (1982 HR)",1.21,0.3229,2.66,188.68,302.34,0.820,1.60,1.33,19.56,0.3,24.54,2460567.34
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.40,55.09,0.526,1.45,0.984,18.52,0.7,359.85,2460600.65
"  3671 Dionysus (1984 KD)",2.2,0.5420,13.54,82.05,204.33,1.008,3.39,3.26,16.50,1.5,131.35,2460165.58
"  3757 Anagolay (1982 XB)",1.834,0.4459,3.87,74.93,17.24,1.017,2.65,2.48,19.04,0.5,293.70,2460767.65
"  4015 Wilson-Harrington (1979 VA)",2.626,0.6312,2.80,266.73,95.52,0.968,4.28,4.25,16.19,4,181.75,2461369.95
"  4034 Vishnu (1986 PA)",1.06,0.4441,11.17,157.89,296.70,0.589,1.53,1.09,18.52,0.42,260.40,2460710.71
"  4179 Toutatis (1989 AC)",2.543,0.6248,0.45,125.36,277.88,0.954,4.13,4.06,15.31,5.4,339.68,2460684.14
"  4183 Cuno (1959 LM)",1.981,0.6361,6.67,294.35,237.02,0.721,3.24,2.79,14.17,3.651,175.91,2460102.94
"  4450 Pan (1987 SY)",1.443,0.5866,5.52,311.70,291.94,0.596,2.29,1.73,17.28,,192.17,2460895.52
"  4486 Mithra (1987 SB)",2.205,0.6620,3.04,82.18,169.12,0.745,3.67,3.28,15.61,1.849,156.61,2460080.09
"  4581 Asclepius (1989 FC)",1.023,0.3570,4.92,180.20,255.38,0.658,1.39,1.03,20.74,,212.12,2460755.66
"  4660 Nereus (1982 DB)",1.485,0.3587,1.45,313.11,159.54,0.952,2.02,1.81,18.75,0.33,191.96,2460909.06
"  4769 Castalia (1989 PB)",1.063,0.4832,8.88,325.51,121.44,0.549,1.58,1.1,17.50,1.4,324.11,2460640.41
"  4953 (1990 MU)",1.621,0.6574,24.38,77.53,77.93,0.555,2.69,2.06,14.94,,285.02,2460757.54
"  5011 Ptah (6743 P-L)",1.636,0.5001,7.41,10.63,105.94,0.818,2.45,2.09,16.70,,173.66,2460231.78
"  5189 (1990 UQ)",1.552,0.4783,3.58,135.05,159.95,0.809,2.29,1.93,17.84,,257.64,2460801.21
"  5604 (1992 FE)",0.9286,0.4061,4.71,311.89,82.68,0.552,1.31,0.895,17.38,0.55,269.92,2460682.29
"  5693 (1993 EA)",1.271,0.5851,5.06,96.98,258.98,0.527,2.01,1.43,16.79,,203.14,2460828.42
"  6037 (1988 EG)",1.272,0.4997,3.51,182.18,242.32,0.636,1.91,1.43,18.87,,249.72,2460760.94
"  6239 Minos (1989 QF)",1.151,0.4126,3.94,344.53,239.77,0.676,1.63,1.23,18.61,,224.50,2460770.27
"  6489 Golevka (1991 JX)",2.484,0.6151,2.27,209.42,68.66,0.956,4.01,3.91,19.22,0.53,151.88,2459997.28
"  6491 (1991 OA)",2.506,0.5917,6.00,301.00,324.73,1.023,3.99,3.97,18.72,,142.22,2460027.95
"  7335 (1989 JA)",1.772,0.4846,15.17,61.28,232.27,0.913,2.63,2.36,17.70,1.8,349.17,2460626.41
"  7341 (1991 VK)",1.841,0.5061,5.41,294.73,173.48,0.909,2.77,2.5,16.96,0.982,37.89,2460504.43
"  7482 (1994 PC1)",1.349,0.3294,33.47,117.85,47.49,0.904,1.79,1.57,16.66,1.052,246.56,2460780.76
"  7753 (1988 XB)",1.467,0.4817,3.12,73.39,280.08,0.761,2.17,1.78,18.02,,95.85,2460427.66
"  7822 (1991 CS)",1.123,0.1646,37.12,156.84,249.45,0.938,1.31,1.19,17.34,1.602,182.35,2460814.92
"  8014 (1990 MF)",1.747,0.4560,1.87,209.84,114.73,0.951,2.54,2.31,18.88,0.7,291.48,2460761.05
"  8566 (1996 EN)",1.506,0.4302,37.97,164.12,125.13,0.858,2.15,1.85,16.48,1.568,90.11,2460431.47
"  9856 (1991 EE)",2.242,0.6258,9.83,168.11,116.18,0.839,3.65,3.36,17.11,1.0,314.61,2460755.13
" 10115 (1992 SK)",1.249,0.3250,15.32,8.89,233.69,0.843,1.65,1.4,17.12,0.938,84.54,2460480.83
" 11500 Tomaiyowit (1989 UR)",1.08,0.3558,10.31,234.39,289.52,0.696,1.46,1.12,18.37,0.738,323.61,2460641.94
" 12538 (1998 OH)",1.542,0.4058,24.54,220.69,321.79,0.916,2.17,1.91,15.97,1.663,317.04,2460683.93
" 12923 Zephyr (1999 GK4)",1.963,0.4918,5.30,168.17,147.13,0.998,2.93,2.75,15.82,2.060,51.56,2460456.63
" 13651 (1997 BR)",1.335,0.3057,17.25,116.63,133.86,0.927,1.74,1.54,17.89,0.562,262.62,2460752.98
" 14827 Hypnos (1986 JK)",2.841,0.6649,1.98,57.93,238.19,0.952,4.73,4.79,18.75,0.9,21.63,2460495.41
" 16960 (1998 QS52)",2.201,0.8590,17.52,260.15,243.25,0.310,4.09,3.26,14.42,,308.68,2460770.48
" 20425 (1998 VD35)",1.565,0.4764,6.99,227.25,296.32,0.819,2.31,1.96,20.51,,32.70,2460535.55
" 22753 (1998 WT)",1.219,0.5699,3.20,307.36,324.80,0.524,1.91,1.35,17.69,,165.33,2460374.75
" 23187 (2000 PN9)",1.847,0.5893,51.33,164.29,293.53,0.759,2.94,2.51,16.06,,167.50,2460173.89
" 25143 Itokawa (1998 SF36)",1.324,0.2803,1.62,69.08,162.82,0.953,1.70,1.52,19.26,0.33,142.57,2460380.09
" 26663 (2000 XK47)",1.546,0.4717,13.53,303.59,231.23,0.817,2.28,1.92,18.19,,108.78,2460388.33
" 27002 (1998 DV9)",1.744,0.4333,8.70,130.34,0.82,0.988,2.50,2.3,18.31,,203.62,2460965.86
" 29075 (1950 DA)",1.699,0.5077,12.16,356.59,224.76,0.836,2.56,2.21,17.29,1.3,223.31,2460907.61
" 31669 (1999 JT6)",2.137,0.5776,9.54,78.77,39.10,0.903,3.37,3.12,16.09,,97.39,2460291.76
" 33342 (1998 WT24)",0.7187,0.4177,7.37,81.66,167.52,0.419,1.02,0.609,18.02,0.432,27.50,2460583.50
" 35107 (1991 VH)",1.137,0.1442,13.91,139.34,206.96,0.973,1.30,1.21,16.91,0.929,100.55,2460476.76
" 35396 (1997 XF11)",1.442,0.4837,4.10,213.65,103.04,0.745,2.14,1.73,17.01,0.704,272.13,2460754.90
" 37638 (1993 VB)",1.913,0.5199,5.08,145.56,323.20,0.918,2.91,2.65,19.28,,236.56,2460931.89
" 37655 Illapa (1994 PM)",1.478,0.7525,18.03,139.52,303.90,0.366,2.59,1.8,17.85,,254.99,2460791.90
" 38071 (1999 GU3)",2.089,0.5075,12.74,195.49,8.81,1.029,3.15,3.02,19.57,,162.10,2460103.79
" 39572 (1993 DQ1)",2.036,0.4927,10.03,313.50,344.85,1.033,3.04,2.91,16.56,1.554,205.80,2461055.07
" 41429 (2000 GE2)",1.593,0.5553,2.17,351.91,297.20,0.708,2.48,2.01,20.66,0.204,42.91,2460512.99
" 52760 (1998 ML14)",2.409,0.6233,2.43,338.68,20.37,0.907,3.91,3.74,17.50,1.0,347.09,2460649.47
" 52768 (1998 OR2)",2.38,0.5755,5.88,26.94,174.59,1.010,3.75,3.67,16.04,1.75,81.21,2460297.98
" 53319 (1999 JM8)",2.724,0.6414,13.84,133.62,166.80,0.977,4.47,4.49,15.36,7.,228.77,2461198.95
" 53426 (1999 SL5)",1.923,0.5391,22.77,239.06,43.36,0.886,2.96,2.67,17.19,,167.90,2460146.17
" 53429 (1999 TF5)",2.022,0.6410,26.78,199.16,64.09,0.726,3.32,2.87,18.94,,281.57,2460829.24
" 53550 (2000 BF19)",1.495,0.4196,7.17,313.14,324.95,0.868,2.12,1.83,19.06,,67.25,2460475.74
" 53789 (2000 ED104)",1.371,0.2692,40.78,190.02,218.35,1.002,1.74,1.6,17.34,0.843,236.89,2460800.93
" 65679 (1989 UQ)",0.9148,0.2647,1.30,178.08,15.01,0.673,1.16,0.875,19.62,0.918,195.92,2460746.16
" 65690 (1991 DG)",1.428,0.3632,11.14,180.10,63.37,0.909,1.95,1.71,19.06,,212.30,2460856.18
" 65717 (1993 BX3)",1.395,0.2810,2.81,174.75,290.95,1.003,1.79,1.65,20.87,,104.62,2460425.54
" 65803 Didymos (1996 GT)",1.643,0.3833,3.41,72.99,319.60,1.013,2.27,2.11,18.11,0.78,339.93,2460643.37
" 65909 (1998 FH12)",1.091,0.5397,3.56,108.59,284.51,0.502,1.68,1.14,19.30,,196.93,2460789.06
" 66391 Moshup (1999 KW4)",0.6424,0.6884,38.88,244.90,192.65,0.200,1.08,0.515,16.64,1.317,296.90,2460633.46
" 67367 (2000 LY27)",1.308,0.2127,9.02,264.51,184.84,1.030,1.59,1.5,17.12,,248.94,2460769.16
" 67381 (2000 OL8)",1.321,0.5430,10.67,294.84,266.96,0.604,2.04,1.52,19.80,,38.01,2460541.97
" 68216 (2001 CV26)",1.32,0.3267,17.99,18.13,48.74,0.889,1.75,1.52,16.62,0.994,301.79,2460690.05
" 68346 (2001 KZ66)",1.507,0.4166,16.70,219.37,140.29,0.879,2.14,1.85,16.93,0.736,133.79,2460349.29
" 68347 (2001 KB67)",0.9616,0.3799,17.13,245.86,243.82,0.596,1.33,0.943,19.92,,352.38,2460607.79
" 68372 (2001 PM9)",1.618,0.4160,8.11,252.96,322.33,0.945,2.29,2.06,18.97,,157.97,2460270.62
" 68548 (2001 XR31)",1.707,0.4368,22.72,302.02,24.71,0.961,2.45,2.23,16.57,1.182,186.50,2460993.10
" 68950 (2002 QF15)",1.057,0.3443,25.15,236.21,255.57,0.693,1.42,1.09,16.39,1.650,54.57,2460540.33
" 69230 Hermes (1937 UB)",1.655,0.6239,6.07,34.05,92.90,0.622,2.69,2.13,17.68,,279.39,2460774.62
" 85182 (1991 AQ)",2.22,0.7777,3.12,339.40,243.23,0.494,3.95,3.31,17.13,1.1,59.27,2460401.55
" 85236 (1993 KH)",1.234,0.3110,12.81,54.36,293.82,0.850,1.62,1.37,18.75,,252.62,2460749.81
" 85585 Mjolnir (1998 FG2)",1.298,0.3563,4.08,2.31,95.42,0.835,1.76,1.48,21.64,,37.53,2460544.22
" 85640 (1998 OX4)",1.58,0.4859,4.52,299.57,117.30,0.812,2.35,1.99,21.14,,15.27,2460569.73
" 85713 (1998 SS49)",1.923,0.6388,10.79,40.95,103.13,0.695,3.15,2.67,15.78,3.484,239.57,2460926.40
" 85774 (1998 UT18)",1.403,0.3288,13.59,64.62,50.15,0.942,1.86,1.66,19.10,0.939,178.64,2460299.33
" 85938 (1999 DJ4)",1.853,0.4846,9.14,19.87,197.79,0.955,2.75,2.52,18.73,,41.94,2460493.20
" 85989 (1999 JD6)",0.8831,0.6329,17.07,130.15,309.25,0.324,1.44,0.83,17.11,1.462,338.43,2460618.66
" 85990 (1999 JV6)",1.008,0.3111,5.36,124.30,235.57,0.695,1.32,1.01,20.27,0.451,312.19,2460649.62
" 86039 (1999 NC43)",1.76,0.5789,7.13,311.62,120.81,0.741,2.78,2.33,15.97,2.22,217.35,2460938.41
" 86819 (2000 GK137)",1.995,0.5059,10.06,164.88,150.30,0.986,3.00,2.82,17.47,0.802,212.48,2461022.39
" 87684 (2000 SY2)",0.8587,0.6428,19.22,162.01,47.81,0.307,1.41,0.796,16.01,,182.98,2460743.40
" 88254 (2001 FM129)",1.182,0.6296,1.52,272.11,140.23,0.438,1.93,1.29,17.77,0.800,166.57,2460383.21
" 88959 (2001 TZ44)",1.724,0.5635,53.83,38.96,114.92,0.752,2.69,2.26,17.45,,18.09,2460558.97
" 89136 (2001 US16)",1.356,0.2530,1.91,175.90,67.20,1.013,1.70,1.58,20.28,,332.59,2460644.41
" 89830 (2002 CE)",2.078,0.5070,43.65,19.90,5.84,1.024,3.13,3,15.01,5.067,253.27,2460924.84
" 89958 (2002 LY45)",1.642,0.8864,9.91,188.16,222.94,0.186,3.10,2.1,17.21,,186.10,2460971.69
" 89959 (2002 NT7)",1.735,0.5284,42.36,132.00,300.71,0.818,2.65,2.29,16.57,1.407,206.61,2460956.30
" 90075 (2002 VU94)",2.136,0.5755,8.91,226.73,30.77,0.907,3.37,3.12,15.37,2.233,128.37,2460193.82
" 90403 (2003 YE45)",1.234,0.2802,19.01,286.23,306.85,0.889,1.58,1.37,17.78,0.572,341.08,2460626.83
" 90416 (2003 YK118)",1.695,0.4924,7.83,326.76,233.29,0.860,2.53,2.21,18.86,0.968,117.11,2460338.35
" 99248 (2001 KY66)",1.867,0.5073,10.61,284.11,61.58,0.920,2.81,2.55,16.55,1.115,359.76,2460601.13
" 99942 Apophis (2004 MN4)",0.9224,0.1911,3.34,203.90,126.67,0.746,1.10,0.886,19.09,0.34,227.76,2460719.35
"100085 (1992 UY4)",2.651,0.6190,2.64,305.18,42.24,1.010,4.29,4.32,17.89,,158.29,2459907.42
"101869 (1999 MM)",1.624,0.6109,4.77,110.92,268.84,0.632,2.62,2.07,19.47,,52.69,2460489.86
"101955 Bennu (1999 RQ36)",1.126,0.2037,6.03,2.06,66.22,0.897,1.36,1.2,20.21,0.482,101.70,2455439.14
"103067 (1999 XA143)",1.844,0.5812,38.56,116.52,104.10,0.772,2.92,2.5,16.83,1.282,289.32,2460780.05
"111253 (2001 XU10)",1.754,0.4394,42.02,310.15,6.97,0.983,2.52,2.32,15.28,3.006,62.23,2460453.86
"136617 (1994 CC)",1.638,0.4169,4.68,268.51,24.92,0.955,2.32,2.1,17.97,,103.64,2460380.02
"136618 (1994 CN2)",1.573,0.3948,1.44,99.34,248.28,0.952,2.19,1.97,16.87,,340.11,2460640.31
"136795 Tatsunokingo (1997 BQ)",1.747,0.4780,10.99,50.13,147.57,0.912,2.58,2.31,18.11,,340.73,2460645.64
"136849 (1998 CS1)",1.492,0.5785,7.79,110.68,97.80,0.629,2.35,1.82,17.72,,204.65,2460887.62
"137108 (1999 AN10)",1.459,0.5621,39.93,314.34,268.33,0.639,2.28,1.76,18.05,,177.03,2460284.10
"137120 (1999 BJ8)",1.901,0.5490,8.97,339.46,222.00,0.857,2.94,2.62,18.30,,272.88,2460832.15
"137126 (1999 CF9)",1.772,0.6012,5.55,156.87,90.54,0.707,2.84,2.36,18.14,,280.89,2460789.91
"137427 (1999 TF211)",2.44,0.6116,39.49,347.91,162.38,0.948,3.93,3.81,15.29,,132.56,2460087.92
"138095 (2000 DK79)",1.777,0.4145,60.69,43.46,2.58,1.040,2.51,2.37,15.98,,220.12,2460936.60
"138127 (2000 EE14)",0.6618,0.5331,26.46,155.75,197.86,0.309,1.01,0.538,17.11,0.754,76.31,2460558.81
"138175 (2000 EE104)",1.004,0.2932,5.24,25.50,280.87,0.710,1.30,1.01,20.47,,52.66,2460546.75
"138404 (2000 HA24)",1.139,0.3186,2.16,309.35,142.20,0.776,1.50,1.22,19.40,,139.80,2460428.14
"138524 (2000 OJ8)",2.358,0.5678,6.25,226.58,181.27,1.019,3.70,3.62,16.88,,207.91,2461159.26
"138727 (2000 SU180)",2.105,0.6052,11.92,327.89,136.32,0.831,3.38,3.05,19.34,,289.27,2460819.64
"138971 (2001 CB21)",1.034,0.3334,7.92,353.67,271.93,0.689,1.38,1.05,18.52,,115.89,2460476.93
"139211 (2001 GN2)",1.86,0.4518,26.05,173.53,3.58,1.020,2.70,2.54,17.74,,106.42,2460326.66
"139359 (2001 ME1)",2.634,0.8700,5.96,84.57,302.40,0.342,4.93,4.27,16.53,,138.82,2459998.38
"139622 (2001 QQ142)",1.421,0.3101,9.34,83.16,337.95,0.980,1.86,1.69,18.46,,190.84,2460891.11
"140039 (2001 SO73)",1.821,0.5679,4.85,197.14,31.03,0.787,2.86,2.46,18.08,,222.91,2460942.37
"140158 (2001 SX169)",1.347,0.4608,2.52,126.78,42.73,0.726,1.97,1.56,18.48,0.566,94.39,2460450.73
"140288 (2001 SN289)",1.784,0.5082,53.19,357.06,225.64,0.877,2.69,2.38,16.74,1.263,344.42,2460638.18
"141053 (2001 XT1)",1.528,0.5795,2.73,316.21,31.39,0.643,2.41,1.89,18.86,,67.95,2460470.23
"141432 (2002 CQ11)",0.9762,0.4275,2.47,81.34,272.65,0.559,1.39,0.965,20.06,0.239,241.70,2460716.28
"141495 (2002 EZ11)",1.114,0.8021,2.35,51.88,317.78,0.220,2.01,1.18,18.47,,194.78,2460797.60
"141525 (2002 FV5)",1.087,0.7245,34.04,38.84,308.11,0.299,1.87,1.13,18.07,,251.11,2460725.70
"141527 (2002 FG7)",1.513,0.6268,9.20,187.48,247.69,0.565,2.46,1.86,18.94,,82.57,2460444.55
"141593 (2002 HK12)",2.002,0.5287,2.35,306.98,2.25,0.943,3.06,2.83,18.32,,301.23,2460769.37
"141614 (2002 JV15)",1.624,0.5361,7.19,200.62,127.39,0.753,2.49,2.07,19.52,,269.02,2460791.50
"141851 (2002 PM6)",1.198,0.8501,19.13,304.00,224.53,0.180,2.22,1.31,17.81,,11.09,2460585.74
"143404 (2003 BD44)",1.968,0.6075,2.66,181.18,89.36,0.772,3.16,2.76,16.95,,242.26,2460930.23
"143487 (2003 CR20)",2.124,0.7301,4.99,177.06,88.83,0.573,3.67,3.1,18.94,,329.95,2460694.89
"143624 (2003 HM16)",1.967,0.5773,35.54,195.84,47.18,0.831,3.10,2.76,15.96,2.137,262.55,2460873.24
"143649 (2003 QQ47)",1.085,0.1870,62.10,0.99,104.96,0.882,1.29,1.13,17.39,,174.10,2460400.77
"143651 (2003 QO104)",2.133,0.5262,11.62,58.17,183.60,1.011,3.26,3.12,16.09,,335.50,2460677.96
"143992 (2004 AF)",1.971,0.5538,27.13,315.62,57.98,0.879,3.06,2.77,16.16,,205.38,2461034.62
"144332 (2004 DV24)",1.423,0.2898,55.89,171.13,186.41,1.011,1.84,1.7,16.61,,206.42,2460865.00
"144898 (2004 VD17)",1.508,0.5886,4.22,223.98,90.98,0.620,2.40,1.85,18.89,,306.24,2460701.51
"144900 (2004 VG64)",0.9683,0.6557,36.25,208.85,43.93,0.333,1.60,0.953,18.29,,29.68,2460571.81
"152560 (1991 BN)",1.443,0.3979,3.45,268.81,80.99,0.869,2.02,1.73,19.23,,256.49,2460782.62
"152561 (1991 RB)",1.454,0.4857,19.58,359.29,68.96,0.748,2.16,1.75,19.10,,279.78,2460743.26
"152637 (1997 NC1)",0.8649,0.2085,16.72,96.46,16.59,0.685,1.05,0.804,17.87,,115.84,2460505.96
"152664 (1998 FW4)",2.525,0.7143,3.42,353.60,85.47,0.721,4.33,4.01,19.68,,264.00,2460991.32
"152671 (1998 HL3)",1.129,0.3659,2.68,163.64,188.16,0.716,1.54,1.2,20.24,0.298,286.27,2460690.24
"152680 (1998 KJ9)",1.448,0.6396,10.93,98.54,260.12,0.522,2.37,1.74,19.50,,16.67,2460571.04
"152685 (1998 MZ)",1.346,0.5729,0.15,122.28,39.24,0.575,2.12,1.56,19.34,,349.07,2460617.83
"152754 (1999 GS6)",1.191,0.4974,2.02,314.42,134.97,0.599,1.78,1.3,19.31,0.414,283.40,2460701.53
"152770 (1999 RR28)",1.879,0.6542,7.14,178.16,284.58,0.650,3.11,2.57,18.41,,231.90,2460935.14
"152828 (1999 VT25)",1.162,0.5231,5.15,221.94,319.24,0.554,1.77,1.25,21.28,,253.70,2460735.62
"152978 (2000 GJ147)",1.162,0.2367,25.01,57.85,240.80,0.887,1.44,1.25,19.57,0.531,134.02,2460430.11
"153002 (2000 JG5)",1.341,0.7961,31.43,213.04,233.45,0.273,2.41,1.55,18.28,,307.51,2460683.17
"153201 (2000 WO107)",0.9111,0.7808,7.77,69.20,213.75,0.200,1.62,0.87,19.30,0.510,219.51,2460724.47
"153220 (2000 YN29)",2.542,0.6683,6.23,64.22,142.59,0.843,4.24,4.05,17.41,,288.37,2460895.10
"153311 (2001 MG1)",2.502,0.6459,28.40,142.33,218.52,0.886,4.12,3.96,17.40,,304.13,2460824.77
"153591 (2001 SN263)",1.988,0.4799,6.69,325.72,173.04,1.034,2.94,2.8,17.11,2,343.42,2460647.65
"153814 (2001 WN5)",1.712,0.4670,1.92,277.35,44.67,0.912,2.51,2.24,18.29,0.932,110.47,2460349.48
"153958 (2002 AM31)",1.703,0.4515,4.64,144.37,197.96,0.934,2.47,2.22,18.36,,166.89,2460224.17
"154019 (2002 CZ9)",1.325,0.3601,4.97,142.84,80.88,0.848,1.80,1.53,22.07,,264.53,2460748.30
"154269 (2002 SM)",1.872,0.4865,14.40,10.78,217.51,0.961,2.78,2.56,17.87,,300.04,2460756.29
"154275 (2002 SR41)",1.084,0.4907,11.58,247.77,258.20,0.552,1.62,1.13,20.13,,119.73,2460463.47
"154276 (2002 SY50)",1.704,0.6888,8.75,34.03,99.68,0.530,2.88,2.23,17.64,1.060,288.08,2460762.88
"154302 (2002 UQ3)",1.72,0.5615,28.83,222.70,280.97,0.754,2.69,2.25,17.69,,230.42,2460896.95
"154330 (2002 VX94)",1.477,0.4086,7.16,320.06,215.23,0.873,2.08,1.79,18.19,,353.41,2460612.50
"154590 (2003 MA3)",1.105,0.4022,1.42,152.67,228.88,0.661,1.55,1.16,21.71,0.086,56.99,2460533.33
"155338 (2006 MZ1)",1.569,0.4826,2.08,226.58,138.70,0.812,2.33,1.97,20.40,,81.14,2460438.66
"159504 (2000 WO67)",2.433,0.6172,9.69,107.57,237.82,0.931,3.93,3.8,16.97,2.324,138.95,2460065.47
"159857 (2004 LJ1)",2.263,0.5935,23.15,235.54,140.02,0.920,3.61,3.4,15.47,3.070,319.37,2460740.84
"161989 Cacus (1978 CA)",1.123,0.2139,26.06,161.21,102.09,0.883,1.36,1.19,17.31,1.9,338.81,2460626.08
"162000 (1990 OS)",1.678,0.4624,1.09,346.51,21.59,0.902,2.45,2.17,19.64,0.4,239.67,2460865.99
"162039 (1996 JG)",1.802,0.6604,5.28,52.83,280.26,0.612,2.99,2.42,19.06,,246.30,2460879.45
"162082 (1998 HL1)",1.246,0.1870,20.05,213.53,148.66,1.013,1.48,1.39,19.12,,228.22,2460786.53
"162116 (1998 SA15)",1.916,0.5585,7.11,114.17,331.44,0.846,2.99,2.65,19.54,0.538,267.66,2460848.93
"162120 (1998 SH36)",1.088,0.5709,2.13,217.82,278.85,0.467,1.71,1.13,20.65,,279.53,2460693.13
"162162 (1999 DB7)",1.206,0.1949,10.84,157.59,29.93,0.971,1.44,1.32,19.99,,110.33,2460452.28
"162173 Ryugu (1999 JU3)",1.191,0.1911,5.87,251.29,211.61,0.963,1.42,1.3,19.55,0.896,327.33,2460643.59
"162183 (1999 NB5)",2.072,0.5351,1.43,235.31,123.19,0.963,3.18,2.98,21.25,,143.03,2460167.54
"162210 (1999 SM5)",2.306,0.6950,5.19,327.62,319.31,0.703,3.91,3.5,19.30,,82.39,2460307.76
"162361 (2000 AF6)",0.8758,0.4110,2.71,109.86,201.27,0.516,1.24,0.82,20.24,,188.82,2460742.85
"162416 (2000 EH26)",1.855,0.4780,0.40,215.25,19.22,0.968,2.74,2.53,21.67,,243.90,2460898.06
"162421 (2000 ET70)",0.9467,0.1238,22.32,331.12,46.07,0.829,1.06,0.921,18.11,,31.49,2460571.07
"162422 (2000 EV70)",1.207,0.5311,1.40,108.93,314.50,0.566,1.85,1.33,20.60,,240.88,2460760.80
"162474 (2000 LB16)",1.241,0.3574,50.71,80.85,285.25,0.797,1.68,1.38,18.62,,163.39,2460371.42
"162510 (2000 QW69)",1.376,0.3023,38.14,344.33,220.73,0.960,1.79,1.61,17.60,1.406,91.40,2460450.80
"162567 (2000 RW37)",1.247,0.2501,13.75,333.29,133.29,0.935,1.56,1.39,19.97,0.335,12.21,2460583.24
"162687 (2000 UH1)",1.875,0.5436,14.77,76.13,40.97,0.856,2.89,2.57,18.76,,92.72,2460358.89
"162695 (2000 UL11)",2.122,0.6354,2.19,333.18,152.12,0.774,3.47,3.09,20.20,,246.49,2460956.61
"162783 (2000 YJ11)",1.314,0.2323,7.26,64.92,339.16,1.008,1.62,1.51,20.91,,327.02,2460650.89
"162825 (2001 BO61)",1.773,0.7444,9.07,159.52,79.16,0.453,3.09,2.36,17.97,,338.79,2460651.32
"162882 (2001 FD58)",1.092,0.5752,6.50,341.15,46.02,0.464,1.72,1.14,18.80,,348.46,2460613.87
"162922 (2001 OY13)",1.319,0.3820,10.30,284.18,291.31,0.815,1.82,1.51,20.91,,174.17,2460332.95
"162979 (2001 RA12)",2.037,0.5441,17.09,311.58,326.05,0.929,3.14,2.91,18.29,,359.93,2460600.70
"162998 (2001 SK162)",1.926,0.4743,1.68,285.29,186.45,1.013,2.84,2.67,18.17,0.875,181.51,2461084.55
