"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"337075 (1998 QC1)",1.984,0.5901,9.65,308.34,115.47,0.813,3.15,2.79,19.81,,101.77,2460312.02
"337558 (2001 SG262)",1.962,0.5829,4.82,359.03,100.26,0.818,3.11,2.75,19.44,,115.78,2460277.76
"341843 (2008 EV5)",0.9602,0.0827,7.45,93.23,235.84,0.881,1.04,0.941,20.05,0.40,63.75,2460539.64
"342866 (2008 YU32)",1.537,0.5955,3.41,232.57,83.97,0.622,2.45,1.91,20.24,,142.65,2460324.67
"344076 (1998 HJ3)",1.985,0.7463,6.56,223.55,94.19,0.504,3.47,2.8,18.99,,137.52,2460210.17
"348306 (2005 AY28)",0.8726,0.5702,5.88,117.47,155.97,0.375,1.37,0.815,21.55,,328.78,2460626.32
"348314 (2005 BC)",1.19,0.2781,30.12,292.45,84.20,0.859,1.52,1.3,18.01,,123.73,2460437.60
"348400 (2005 JF21)",2.226,0.5351,10.84,132.18,206.14,1.035,3.42,3.32,17.35,,270.24,2460902.92
"349068 (2006 YT13)",1.323,0.4258,38.24,116.69,105.45,0.760,1.89,1.52,18.34,0.496,205.04,2460839.70
"349507 (2008 QY)",1.168,0.5817,13.56,1.91,254.90,0.488,1.85,1.26,18.50,,338.34,2460628.24
"350523 (2000 EA14)",1.117,0.2026,3.56,203.83,206.06,0.891,1.34,1.18,21.16,,39.54,2460553.14
"350751 (2002 AW)",1.072,0.2567,0.57,161.76,119.33,0.796,1.35,1.11,20.82,,42.35,2460552.84
"352102 (2007 AG12)",2.09,0.6565,41.97,305.39,68.23,0.718,3.46,3.02,19.35,,354.95,2460615.99
"354182 (2002 DU3)",1.145,0.2383,8.71,0.61,245.59,0.873,1.42,1.23,20.77,,102.40,2460473.14
"356991 (1998 QA1)",2.102,0.5339,8.19,298.85,333.15,0.980,3.22,3.05,19.07,,223.83,2461021.65
"357022 (1999 YG3)",1.285,0.3295,34.52,293.25,250.24,0.861,1.71,1.46,19.07,0.432,318.54,2460661.76
"357024 (1999 YR14)",1.651,0.4000,3.73,2.98,9.70,0.991,2.31,2.12,19.47,0.255,285.74,2460760.40
"357028 (2000 EJ26)",1.383,0.6147,9.23,10.48,285.90,0.533,2.23,1.63,19.46,,347.63,2460620.90
"357439 (2004 BL86)",1.502,0.4025,23.78,126.65,311.51,0.898,2.11,1.84,19.29,,120.93,2460374.57
"357594 (2004 XL35)",1.355,0.2784,27.30,73.75,356.21,0.978,1.73,1.58,19.64,,210.77,2460839.42
"357622 (2005 EY95)",1.084,0.5384,3.17,72.86,342.14,0.500,1.67,1.13,20.32,,197.54,2460786.46
"358471 (2007 NS4)",1.875,0.5972,5.78,10.96,47.58,0.755,2.99,2.57,19.18,,213.25,2460982.75
